project_sample_id,group,n_pred_points,rmse,bias,r2,ci_inside_count,ci_total_count,ci_outside_count,ci_coverage_pct
003_jetti_project_file_amcf_head,Overall,166,10.521663523960296,-7.566171477806541,-0.3513564309123678,0,0,0,
003_jetti_project_file_amcf_head,Control,90,5.249885061175678,-3.641044444444444,0.03347888089979245,0,0,0,
003_jetti_project_file_amcf_head,Catalyzed,76,14.462556266413985,-12.2143482278406,-1.290004628738691,0,0,0,
006_jetti_project_file_pvo,Overall,293,14.382281141486276,11.627912854127706,-0.1595000971720526,0,0,0,
006_jetti_project_file_pvo,Control,146,18.943260453150362,18.90863698630137,-46.58675653924138,0,0,0,
006_jetti_project_file_pvo,Catalyzed,147,7.475754074765248,4.396717457547061,0.6575279681568094,0,0,0,
007_jetti_project_file_leopard_lep,Overall,193,14.18011844467511,-12.918700204427427,-3.147862808738834,0,0,0,
007_jetti_project_file_leopard_lep,Control,113,14.025043559946868,-12.568646017699116,-2.56482882825487,0,0,0,
007_jetti_project_file_leopard_lep,Catalyzed,80,14.396315853486593,-13.413151743181174,-4.477473324117275,0,0,0,
007b_jetti_project_file_tiger_tgr,Overall,148,10.68925146507877,-10.6079405104918,-3.174203497502395,0,0,0,
007b_jetti_project_file_tiger_tgr,Control,79,9.824934468812282,-9.78886075949367,-2.350481879553486,0,0,0,
007b_jetti_project_file_tiger_tgr,Catalyzed,69,11.600022920258414,-11.545727471779518,-6.720890609058649,0,0,0,
011_jetti_project_file_rm,Overall,392,6.655361378687751,5.147338037892753,-0.2839801864574427,0,0,0,
011_jetti_project_file_rm,Control,204,7.764366127872067,7.596475490196078,-4.13587088251648,0,0,0,
011_jetti_project_file_rm,Catalyzed,188,5.190501529863037,2.489763355606166,0.34164013293283324,0,0,0,
011_jetti_project_file_rm_crushed,Overall,122,3.030844146561444,-2.7494880954148724,0.20879625676144875,0,0,0,
011_jetti_project_file_rm_crushed,Control,69,2.428477775139774,-2.2991739130434783,0.2791828041971053,0,0,0,
011_jetti_project_file_rm_crushed,Catalyzed,53,3.669780170196266,-3.3357461818983856,-0.20225540628586836,0,0,0,
014_jetti_project_file_bag,Overall,280,5.658825310317113,-4.494650149082858,0.3483801748607005,0,0,0,
014_jetti_project_file_bag,Control,148,4.049415923015017,-3.179763513513514,0.6011530621598538,0,0,0,
